id,name,logo_url,transparency_grade,coverage_type,order_books,first_trade,first_candle,first_order_book,num_pairs,num_pairs_unmapped,last_updated,fiat_currencies,rank,weight,centralized,decentralized,1d.volume,1d.volume_change,1d.volume_change_pct,1d.trades,1d.trades_change,1d.trades_change_pct,1d.spot_volume,1d.spot_volume_change,1d.spot_volume_change_pct,1d.derivative_volume,1d.derivative_volume_change,1d.derivative_volume_change_pct,location,website_url
sushiswap_polygon,SushiSwap (Polygon),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/sushiswap.jpg,A,trades,true,2021-03-03T00:00:00Z,2021-03-03T00:00:00Z,2021-10-27T00:00:00Z,1059,4686,2022-04-15T14:41:00Z,,48,0.5565,false,true,7956653.84,-978595.51,-0.1095,22034,-2704,-0.1093,7956653.84,-978595.51,-0.1095,,,,,https://sushi.com
pangolin,Pangolin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/pangolin.png,A,trades,true,2021-02-08T00:00:00Z,2021-02-08T00:00:00Z,2021-10-29T00:00:00Z,713,2312,2022-04-15T14:39:37Z,,49,0.4918,false,true,7837316.08,-1940067.35,-0.1984,6503,-843,-0.1148,7837316.08,-1940067.35,-0.1984,,,,,https://pangolin.exchange
shibaswap,ShibaSwap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/shibaswap.png,A,trades,true,2021-07-06T00:00:00Z,2021-07-06T00:00:00Z,2021-10-27T00:00:00Z,362,83,2022-04-15T14:29:46Z,,50,0.4658,false,true,6695249.10,-18150059.18,-0.7305,1419,-64,-0.0432,6695249.10,-18150059.18,-0.7305,,,,,https://shibaswap.com/
spiritswap,SpiritSwap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/spiritswap.jpg,A,trades,true,2021-04-25T00:00:00Z,2021-04-25T00:00:00Z,2021-10-27T00:00:00Z,234,1691,2022-04-15T14:41:09Z,,51,0.4156,false,true,6515694.17,-2252540.51,-0.2569,11070,314,0.0292,6515694.17,-2252540.51,-0.2569,,,,,https://www.spiritswap.finance
babyswap,BabySwap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/babyswap.png,A,trades,true,2021-06-01T00:00:00Z,2021-06-01T00:00:00Z,2021-10-27T00:00:00Z,762,455,2022-04-15T14:40:57Z,,52,0.4226,false,true,6505183.82,506658.17,0.0845,8143,-624,-0.0712,6505183.82,506658.17,0.0845,,,,,https://home.babyswap.finance
balancerv2_polygon,Balancer V2 (Polygon),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/balancer.png,A,trades,false,2021-06-24T00:00:00Z,2021-06-24T00:00:00Z,,658,706,2022-04-15T14:38:28Z,,53,0.5144,false,true,5288102.20,-3432967.24,-0.3936,10971,-679,-0.0583,5288102.20,-3432967.24,-0.3936,,,,,https://balancer.fi
uniswapv3_optimism,Uniswap V3 (Optimism),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/uniswapv3.png,A,trades,true,2021-07-08T00:00:00Z,2021-07-08T00:00:00Z,2021-11-11T00:00:00Z,196,143,2022-04-15T14:39:10Z,,54,0.5949,false,true,4911556.66,-2408776.33,-0.3291,4790,-561,-0.1048,4911556.66,-2408776.33,-0.3291,,,,United States,https://uniswap.org
nominex,Nominex,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/nominex.png,A,trades,true,2019-09-27T00:00:00Z,2019-09-27T00:00:00Z,2020-04-24T00:00:00Z,924,3,2022-04-15T14:39:44.466Z,,55,0.3701,true,false,4251580.72,-1387187.10,-0.2460,12766,-3444,-0.2125,4251580.72,-1387187.10,-0.2460,,,,Seychelles,https://nominex.io/
crosstower,CrossTower,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/crosstower.jpg,A,trades,true,2020-03-17T00:00:00Z,2020-03-17T00:00:00Z,2020-11-04T00:00:00Z,84,31,2022-04-15T14:36:37.28Z,USD,56,0.2704,true,false,3461629.32,-5030032.13,-0.5923,1203,-1046,-0.4651,3461629.32,-5030032.13,-0.5923,,,,United States,https://crosstower.com/
farhad,Exbito,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/farhad.png,A+,trades,true,2019-06-03T00:00:00Z,2019-06-03T00:00:00Z,2020-01-14T00:00:00Z,48,0,2022-04-15T14:41:46.957623Z,IRR;TRY,57,0.0135,true,false,3429326.51,-117247.59,-0.0331,83756,-1579,-0.0185,3429326.51,-117247.59,-0.0331,,,,Iran,https://exbito.com/
